Item_Identifier,Item_Weight,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Item_Outlet_Sales,Item_Visibility_MeanRatio,Item_Visibility_Ratio_OutletSize,Outlet_Years,Item_Fat_Content_Low Fat,Item_Fat_Content_Regular,Outlet_Type_Grocery Store,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3,Item_Type_Combined_Drinks,Item_Type_Combined_Food,Item_Type_Combined_Non-Consumable
FDS46,17.6,0.047257328,Snack Foods,119.6782,OUT046,0,0,2145.2076,0.922289906298101,0.6746404360237078,16,0,1,0,1,0,0,0,1,0
FDF32,16.35,0.0680243,Fruits and Vegetables,196.4426,OUT013,2,2,1977.426,0.9583620262153766,0.8563365966544504,26,1,0,0,1,0,0,0,1,0
FDP49,9.0,0.069088961,Breakfast,56.3614,OUT046,0,0,1547.3192,0.9252652611972232,0.986306436399979,16,0,1,0,1,0,0,0,1,0
NCB42,11.8,0.008596051,Health and Hygiene,115.3492,OUT018,1,2,1621.8888,1.0031395479206202,0.13427653564761263,4,1,0,0,0,1,0,0,0,1
FDP49,9.0,0.069196376,Breakfast,54.3614,OUT049,1,0,718.3982,0.9267038031378307,1.0808974549650305,14,0,1,0,1,0,0,0,1,0
DRI11,8.26,0.034237682,Hard Drinks,113.2834,OUT027,1,2,2303.668,0.8704928693111866,0.534817362945453,28,1,0,0,0,0,1,1,0,0
FDU02,13.35,0.10249212,Dairy,230.5352,OUT035,0,1,2748.4224,0.922115518306462,1.4631662739330964,9,1,0,0,1,0,0,0,1,0
FDN22,18.85,0.138190277,Snack Foods,250.8724,OUT013,2,2,3775.086,1.0132484392100192,1.739634093947542,26,0,1,0,1,0,0,0,1,0
FDW12,8.315,0.035399923,Baking Goods,144.5444,OUT027,1,2,4064.0432,0.867553707380034,0.5529724082177085,28,0,1,0,0,0,1,0,1,0
NCB30,14.6,0.025698134,Household,196.5084,OUT035,0,1,1587.2672,0.8628943947372767,0.3668637449573042,9,1,0,0,1,0,0,0,0,1
FDC37,15.5,0.057556998,Baking Goods,107.6938,OUT019,0,0,214.3876,1.5315371875133976,0.8216773962957803,28,1,0,1,0,0,0,0,1,0
FDR28,13.85,0.025896485,Frozen Foods,165.021,OUT046,0,0,4078.025,0.9296326154440038,0.36969538209780733,16,0,1,0,1,0,0,0,1,0
NCD06,13.0,0.099887103,Household,45.906,OUT017,0,1,838.908,0.9275067672165533,1.425977336701411,6,1,0,0,1,0,0,0,0,1
FDV10,7.645,0.066693437,Snack Foods,42.3112,OUT035,0,1,1065.28,0.8835292524522668,0.9521081982798453,9,0,1,0,1,0,0,0,1,0
DRJ59,11.65,0.019356132,Hard Drinks,39.1164,OUT013,2,2,308.9312,0.9317498202269066,0.24366828032444734,26,1,0,0,1,0,0,1,0,0
FDE51,5.925,0.161466534,Dairy,45.5086,OUT010,2,2,178.4344,1.4445814400022103,2.0326515994894487,15,0,1,1,0,0,0,0,1,0
FDC14,14.5,0.072221801,Canned,43.6454,OUT019,0,0,125.8362,1.5263660738938303,1.0310305169403031,28,0,1,1,0,0,0,0,1,0
FDV38,19.25,0.170348551,Dairy,55.7956,OUT010,2,2,163.7868,1.4641166675359907,2.1444645282400123,15,1,0,1,0,0,0,0,1,0
NCS17,18.6,0.080829372,Health and Hygiene,96.4436,OUT018,1,2,2741.7644,1.0031395405819457,1.2626132686662912,4,1,0,0,0,1,0,0,0,1
FDP33,18.7,0.0930934742,Snack Foods,256.6672,OUT018,1,2,3068.0064,0.9090909090909091,1.4541874178010816,4,1,0,0,0,1,0,0,1,0
FDO23,17.85,0.14246229066666669,Breads,93.1436,OUT045,0,1,2174.5028,0.9,2.033776050399976,11,1,0,0,1,0,0,0,1,0
DRH01,17.5,0.097904029,Soft Drinks,174.8738,OUT046,0,0,2085.2856,0.9222899199987085,1.3976671895846022,16,1,0,0,1,0,0,1,0,0
NCX29,10.0,0.089291137,Health and Hygiene,146.7102,OUT049,1,0,3791.0652,0.8760887635003262,1.394792159841346,14,1,0,0,1,0,0,0,0,1
FDV20,20.2,0.059511812,Fruits and Vegetables,128.0678,OUT027,1,2,2797.6916,0.8676854210699223,0.929617558745524,28,0,1,0,0,0,1,0,1,0
DRZ11,8.85,0.113123893,Soft Drinks,122.5388,OUT018,1,2,1609.9044,1.0031395349101433,1.7670770509634268,4,0,1,0,0,1,0,1,0,0
FDX10,6.385,0.123111453,Snack Foods,36.9874,OUT027,1,2,388.1614,0.9205197684191376,1.9230899639129508,28,0,1,0,0,0,1,0,1,0
FDB34,15.25,0.026480954,Snack Foods,87.6198,OUT027,1,2,2180.495,0.9251308290764402,0.41365165978701035,28,1,0,0,0,0,1,0,1,0
FDU02,13.35,0.102511504,Dairy,230.6352,OUT046,0,0,3435.528,0.9222899150035627,1.4634429977929786,16,1,0,0,1,0,0,0,1,0
FDK43,9.8,0.02681843,Meat,126.002,OUT013,2,2,2150.534,0.9215224160526706,0.3376088114661322,26,1,0,0,1,0,0,0,1,0
FDA46,13.6,0.117818348,Snack Foods,192.9136,OUT049,1,0,2527.3768,0.9310779364692868,1.8404078343840478,14,1,0,0,1,0,0,0,1,0
FDC02,21.35,0.069102831,Canned,259.9278,OUT018,1,2,6768.5228,0.9334195377024119,1.079436214387566,4,1,0,0,0,1,0,0,1,0
FDL50,12.15,0.042277867,Canned,126.5046,OUT013,2,2,373.5138,0.9980787902561442,0.532222819501112,26,0,1,0,1,0,0,0,1,0
FDM39,6.42,0.089498926,Dairy,178.1002,OUT010,2,2,358.2004,1.4641166676603148,1.126673934095147,15,1,0,1,0,0,0,0,1,0
NCP05,19.6,0.018756953777777776,Health and Hygiene,153.3024,OUT045,0,1,2428.8384,0.75,0.26777221672618756,11,1,0,0,1,0,0,0,0,1
FDV49,10.0,0.025879577,Canned,265.2226,OUT045,0,1,5815.0972,0.9241603460120508,0.36945400534260253,11,1,0,0,1,0,0,0,1,0
FDL12,15.85,0.121632721,Baking Goods,60.622,OUT046,0,0,2576.646,0.8747287915078714,1.73641539636329,16,0,1,0,1,0,0,0,1,0
FDS02,10.195,0.255394896,Dairy,196.8794,OUT019,0,0,780.3176,1.6616354111924645,3.6459895488731293,28,0,1,1,0,0,0,0,1,0
NCL17,7.39,0.067779712,Health and Hygiene,143.8812,OUT046,0,0,3134.5864,0.8747287887220742,0.9676157411447669,16,1,0,0,1,0,0,0,0,1
FDM40,10.195,0.159803853,Frozen Foods,141.5154,OUT013,2,2,850.8924,0.9328773848835529,2.011720629396967,26,1,0,0,1,0,0,0,1,0
FDR13,9.895,0.028696932,Canned,117.0492,OUT013,2,2,810.9444,0.8740008759338731,0.36125668449810133,26,0,1,0,1,0,0,0,1,0
FDA43,10.895,0.065041581,Fruits and Vegetables,196.3794,OUT017,0,1,3121.2704,0.8796766099576357,0.9285264830358438,6,1,0,0,1,0,0,0,1,0
NCP18,12.15,0.028760013,Household,151.4708,OUT017,0,1,4815.0656,0.9275067647960545,0.41057479403760416,6,1,0,0,1,0,0,0,0,1
FDK21,7.905,0.010053105,Snack Foods,249.0408,OUT018,1,2,6258.52,0.9334195624341675,0.15703677326969007,4,1,0,0,0,1,0,0,1,0
NCX54,9.195,0.048157338,Household,106.1622,OUT045,0,1,2117.244,0.9315179298292239,0.6874888801597304,11,1,0,0,1,0,0,0,0,1
DRK35,8.365,0.071958197,Hard Drinks,38.0506,OUT049,1,0,796.9626,0.8760887617519185,1.124039097093355,14,1,0,0,1,0,0,1,0,0
FDY21,15.1,0.173481304,Snack Foods,194.511,OUT046,0,0,4910.275,0.9513858526903725,2.4766000856527777,16,1,0,0,1,0,0,0,1,0
FDI26,5.94,0.061082177,Canned,180.0344,OUT019,0,0,892.172,1.6148105887521402,0.8720024654072125,28,1,0,1,0,0,0,0,1,0
FDM20,10.0,0.0364918673,Fruits and Vegetables,246.9144,OUT018,1,2,3185.1872,0.8333333333333334,0.5700293681780622,4,1,0,0,0,1,0,0,1,0
FDV27,7.97,0.040071131,Meat,87.3514,OUT045,0,1,1062.6168,0.8503936434710149,0.5720510751222142,11,0,1,0,1,0,0,0,1,0
FDF09,6.215,0.012090074,Fruits and Vegetables,38.2848,OUT027,1,2,484.7024,0.9251308536486635,0.1888557027457462,28,1,0,0,0,0,1,0,1,0
FDY40,15.5,0.15028599,Frozen Foods,51.0692,OUT019,0,0,147.8076,1.5474933749123494,2.1454663247540062,28,0,1,1,0,0,0,0,1,0
FDY45,17.5,0.026015519,Snack Foods,255.8356,OUT027,1,2,2543.356,0.9538823918231123,0.4063812283564445,28,1,0,0,0,0,1,0,1,0
FDC46,17.7,0.195068226,Snack Foods,185.4266,OUT010,2,2,184.4266,1.5560143953260468,2.455652770675497,15,1,0,1,0,0,0,0,1,0
FDH19,19.35,0.033082215,Meat,172.5738,OUT035,0,1,4865.6664,0.9221155127052101,0.4722780761584753,9,1,0,0,1,0,0,0,1,0
FDZ03,13.65,0.078946455,Dairy,186.024,OUT045,0,1,1118.544,0.9281228332853192,1.1270309405501306,11,0,1,0,1,0,0,0,1,0
DRH37,17.6,0.041700756,Soft Drinks,164.8526,OUT045,0,1,2302.3364,0.8765027640696679,0.5953154230463104,11,1,0,0,1,0,0,1,0,0
NCI17,8.645,0.143422643,Health and Hygiene,95.841,OUT046,0,0,2027.361,0.9249991148310271,2.047485935074293,16,1,0,0,1,0,0,0,0,1
FDJ58,15.6,0.105296072,Snack Foods,170.1764,OUT046,0,0,3435.528,0.8747287875118144,1.5031951854252896,16,0,1,0,1,0,0,0,1,0
FDL12,15.85,0.121531501,Baking Goods,59.222,OUT013,2,2,599.22,0.8740008619873568,1.5299219830655655,26,0,1,0,1,0,0,0,1,0
FDH35,18.25,0.05810121044444445,Starchy Foods,164.7526,OUT045,0,1,4604.6728,0.9,0.8294465135173366,11,1,0,0,1,0,0,0,1,0
FDG02,7.855,0.011324862,Canned,189.6188,OUT017,0,1,2285.0256,0.9275067286121008,0.161672488922529,6,1,0,0,1,0,0,0,1,0
NCZ18,7.825,0.186357148,Household,254.3698,OUT049,1,0,5580.7356,0.9268713929240054,2.9110334764893113,14,1,0,0,1,0,0,0,0,1
FDC29,8.39,0.024205661,Frozen Foods,114.0176,OUT046,0,0,2290.352,0.9990697616442725,0.34555736395595743,16,0,1,0,1,0,0,0,1,0
FDQ10,12.85,0.033230816,Snack Foods,172.3422,OUT049,1,0,1207.0954,0.9237238339071363,0.5190893875831188,14,1,0,0,1,0,0,0,1,0
FDN48,13.35,0.113720344,Baking Goods,89.9804,OUT019,0,0,643.1628,1.5315372016230426,1.623459169357312,28,1,0,1,0,0,0,0,1,0
FDL04,19.0,0.112556507,Frozen Foods,104.9622,OUT017,0,1,1587.933,0.9275067671896535,1.6068443598797104,6,1,0,0,1,0,0,0,1,0
FDV25,5.905,0.04441604033333333,Canned,222.5456,OUT045,0,1,5305.0944,0.8999999999999999,0.6340785246454601,11,1,0,0,1,0,0,0,1,0
FDD58,7.76,0.059352241,Snack Foods,101.87,OUT046,0,0,1697.79,0.8747287866525949,0.8473060886392939,16,1,0,0,1,0,0,0,1,0
FDN04,11.8,0.014087057,Frozen Foods,180.3344,OUT046,0,0,1427.4752,1.0147657505784495,0.20110528205849526,16,0,1,0,1,0,0,0,1,0
FDV45,16.75,0.045230944,Snack Foods,187.9556,OUT018,1,2,4693.89,0.9260469457443702,0.7065400687351867,4,1,0,0,0,1,0,0,1,0
NCL18,18.85,0.293417759,Household,194.6136,OUT019,0,0,583.2408,1.6148105893820424,4.188799774478557,28,1,0,1,0,0,0,0,0,1
FDR12,12.6,0.031382044,Baking Goods,171.3764,OUT027,1,2,3091.9752,0.8704928746102873,0.4902102314028788,28,0,1,0,0,0,1,0,1,0
FDG20,15.5,0.12639886,Fruits and Vegetables,177.0028,OUT017,0,1,2479.4392,0.9348909885210056,1.8044562744491097,6,0,1,0,1,0,0,0,1,0
FDZ55,6.055,0.025403898,Fruits and Vegetables,160.992,OUT035,0,1,2716.464,0.9988808402357966,0.3626632640639733,9,1,0,0,1,0,0,0,1,0
FDQ49,20.2,0.039057677,Breakfast,155.963,OUT027,1,2,3285.723,0.8673835674751831,0.61010917199112,28,0,1,0,0,0,1,0,1,0
FDN33,6.305,0.123115764,Snack Foods,95.6436,OUT046,0,0,661.8052,0.9990697475981462,1.7575871557179854,16,0,1,0,1,0,0,0,1,0
FDN27,20.85,0.039624006,Meat,117.2808,OUT049,1,0,1523.3504,0.9517970383470621,0.618955640695968,14,1,0,0,1,0,0,0,1,0
FDW20,20.75,0.040421193,Fruits and Vegetables,122.173,OUT010,2,2,369.519,1.5617277461640404,0.5088497323211367,15,1,0,1,0,0,0,0,1,0
DRG27,8.895,0.105274111,Dairy,39.9138,OUT049,1,0,690.4346,0.9267038048585214,1.6444577770027455,14,1,0,0,1,0,0,1,0,0
DRI25,19.6,0.033970195,Soft Drinks,55.1614,OUT045,0,1,1381.535,0.9315179184271947,0.4849547813327571,11,1,0,0,1,0,0,1,0,0
FDA44,19.7,0.053212652,Fruits and Vegetables,57.893,OUT035,0,1,622.523,0.9294568248579793,0.7596579888574705,9,1,0,0,1,0,0,0,1,0
NCR17,9.8,0.024378706,Health and Hygiene,114.5492,OUT035,0,1,1274.3412,0.9988808191929445,0.34802773541351684,9,1,0,0,1,0,0,0,0,1
FDU04,7.93,0.009714595,Frozen Foods,120.0414,OUT019,0,0,487.3656,1.6626731919645845,0.13868449368516417,28,1,0,1,0,0,0,0,1,0
FDF41,12.15,0.131383762,Frozen Foods,246.046,OUT049,1,0,1231.73,0.8760887632599259,2.0523094153013344,14,1,0,0,1,0,0,0,1,0
FDB56,8.75,0.07461309,Fruits and Vegetables,187.4556,OUT035,0,1,3755.112,1.0139005933372311,1.0651682966645122,9,0,1,0,1,0,0,0,1,0
NCP18,12.15,0.028459761,Household,149.9708,OUT027,1,2,4363.6532,0.9178236759482314,0.4445620567443161,28,1,0,0,0,0,1,0,0,1
FDB56,8.75,0.074627201,Fruits and Vegetables,187.8556,OUT046,0,0,1314.2892,1.0140923445604089,1.065369743754215,16,0,1,0,1,0,0,0,1,0
FDT28,13.3,0.063695084,Frozen Foods,151.0708,OUT045,0,1,1805.6496,0.9241603474535889,0.909304039414304,11,1,0,0,1,0,0,0,1,0
FDD10,20.6,0.045797829,Snack Foods,178.5344,OUT027,1,2,2854.9504,0.9285074606550529,0.7153952225622866,28,0,1,0,0,0,1,0,1,0
FDW57,8.31,0.115857223,Snack Foods,179.1028,OUT049,1,0,3896.2616,1.0163708730830925,1.8097736430592262,14,0,1,0,1,0,0,0,1,0
DRB48,16.75,0.024832806,Soft Drinks,38.7822,OUT013,2,2,667.7974,0.9322695631328209,0.3126124131438356,26,0,1,0,1,0,0,1,0,0
FDP09,19.75,0.034027909,Snack Foods,212.0902,OUT018,1,2,3185.853,0.8782920653990081,0.5315405569199413,4,1,0,0,0,1,0,0,1,0
FDH14,17.1,0.0467696,Canned,141.1838,OUT013,2,2,2247.7408,0.8740008565954394,0.5887678387119013,26,0,1,0,1,0,0,0,1,0
FDA47,10.5,0.116576702,Baking Goods,163.121,OUT013,2,2,1794.331,0.9242793113988635,1.4675475710868038,26,0,1,0,1,0,0,0,1,0
FDG12,6.635,0.004924115333333334,Baking Goods,121.3098,OUT045,0,1,2530.7058,0.8181818181818182,0.07029613090928513,11,0,1,0,1,0,0,0,1,0
DRE60,9.395,0.278974075,Soft Drinks,225.372,OUT019,0,0,679.116,1.6148105888188795,3.982603324447598,28,1,0,1,0,0,0,1,0,0
DRK49,14.15,0.035913805,Soft Drinks,41.4138,OUT013,2,2,812.276,0.938241400037113,0.452107637220987,26,1,0,0,1,0,0,1,0,0
FDD03,13.3,0.079806266,Dairy,232.53,OUT046,0,0,699.09,0.9990697472460142,1.139305508167199,16,1,0,0,1,0,0,0,1,0
FDS52,8.89,0.005505481,Frozen Foods,102.4016,OUT017,0,1,2732.4432,0.8796765744587313,0.07859564345999923,6,1,0,0,1,0,0,0,1,0
FDW39,6.69,0.064625342,Meat,176.937,OUT019,0,0,176.437,1.7376946555050123,0.9225843006837212,28,0,1,1,0,0,0,0,1,0
FDX34,6.195,0.071636937,Snack Foods,121.7098,OUT027,1,2,4097.3332,0.9942317071612333,1.1190207834697907,28,1,0,0,0,0,1,0,1,0
FDV11,9.1,0.078393078375,Breads,173.2054,OUT045,0,1,3151.8972,0.888888888888889,1.1191309964911833,11,0,1,0,1,0,0,0,1,0
FDD17,7.5,0.032677678,Frozen Foods,239.0906,OUT049,1,0,5942.265,0.8727739383621287,0.510448971841629,14,1,0,0,1,0,0,0,1,0
FDZ16,16.85,0.160760054,Frozen Foods,192.4478,OUT017,0,1,4843.695,0.8767064446129036,2.294992914659814,6,0,1,0,1,0,0,0,1,0
FDZ46,7.485,0.06911065,Snack Foods,109.0228,OUT035,0,1,2542.0244,0.9988808423019976,0.986616066187277,9,1,0,0,1,0,0,0,1,0
DRA12,11.6,0.041177505,Soft Drinks,140.3154,OUT017,0,1,2552.6772,0.9643049356473629,0.5878455491086676,6,1,0,0,1,0,0,1,0,0
FDY58,11.65,0.040081193,Snack Foods,227.0694,OUT018,1,2,1141.847,0.8782920723575601,0.6260972323993124,4,1,0,0,0,1,0,0,1,0
NCF19,13.0,0.035307322,Household,47.5034,OUT017,0,1,680.4476,0.8796766231887589,0.5040434598610707,6,1,0,0,1,0,0,0,0,1
DRJ13,12.65,0.063017847,Soft Drinks,159.0578,OUT045,0,1,2085.9514,0.9315179229166382,0.8996358782145979,11,1,0,0,1,0,0,1,0,0
FDB14,20.25,0.171938781,Canned,92.512,OUT010,2,2,186.424,1.5717317089480713,2.1644834353966877,15,0,1,1,0,0,0,0,1,0
FDJ38,8.6,0.040197932,Canned,190.153,OUT035,0,1,3036.048,0.9241490579427503,0.5738612723032364,9,0,1,0,1,0,0,0,1,0
FDW11,12.6,0.049058014,Breads,62.7194,OUT017,0,1,866.8716,0.934890991604278,0.700346832038772,6,1,0,0,1,0,0,0,1,0
FDL40,17.7,0.01161096,Frozen Foods,95.041,OUT035,0,1,868.869,0.9603681061035344,0.16575679261962992,9,1,0,0,1,0,0,0,1,0
DRI49,14.15,0.183507295,Soft Drinks,82.4276,OUT046,0,0,1137.1864,0.9990697492376227,2.6197300345108627,16,1,0,0,1,0,0,1,0,0
FDV38,19.25,0.102349519,Dairy,52.7956,OUT017,0,1,928.1252,0.8796766148142439,1.4611305176834535,6,1,0,0,1,0,0,0,1,0
DRG23,8.88,0.086708987,Hard Drinks,151.7682,OUT013,2,2,762.341,0.9327072147064808,1.0915522662774184,26,1,0,0,1,0,0,1,0,0
NCP30,20.5,0.032835147,Household,40.2822,OUT045,0,1,707.0796,1.0010958955480702,0.46875096046442877,11,1,0,0,1,0,0,0,0,1
FDY25,12.0,0.033809913,Canned,180.5976,OUT027,1,2,7968.2944,1.0101030662789034,0.5281353016852949,28,1,0,0,0,0,1,0,1,0
NCH54,13.5,0.07266912,Household,160.292,OUT046,0,0,1438.128,0.8626517449642818,1.037416393966649,16,1,0,0,1,0,0,0,0,1
NCR53,12.15,0.144338493,Health and Hygiene,224.4404,OUT027,1,2,6976.2524,0.8675537170348699,2.2546716859447655,28,1,0,0,0,0,1,0,0,1
FDS52,8.89,0.009163216,Frozen Foods,101.7016,OUT010,2,2,101.2016,1.464116661542459,0.11535285484524806,15,1,0,1,0,0,0,0,1,0
FDG02,7.855,0.011307038,Canned,188.5188,OUT018,1,2,952.094,0.9260469421766652,0.17662411391881114,4,1,0,0,0,1,0,0,1,0
NCO26,7.235,0.076855628,Household,116.0492,OUT046,0,0,1969.4364,0.9296326048503732,1.0971825234130013,16,1,0,0,1,0,0,0,0,1
FDH35,18.25,0.059956876,Starchy Foods,165.4526,OUT027,1,2,5262.4832,0.9287446507090747,0.9365697804181815,28,1,0,0,0,0,1,0,1,0
FDB51,6.92,0.038532062,Dairy,60.5852,OUT045,0,1,1314.2892,1.001095885421211,0.5500794947309027,11,1,0,0,1,0,0,0,1,0
FDX44,9.3,0.043209581,Fruits and Vegetables,90.8172,OUT017,0,1,535.3032,0.9275067689403469,0.6168552434077889,6,1,0,0,1,0,0,0,1,0
NCN07,18.5,0.056816465,Others,132.1284,OUT010,2,2,263.6568,1.4641166640747971,0.7152446739185364,15,1,0,1,0,0,0,0,0,1
NCC31,8.02,0.019866705,Household,154.5972,OUT035,0,1,1402.1748,0.871200626611771,0.283614903567006,9,1,0,0,1,0,0,0,0,1
NCX54,9.195,0.048331717,Household,105.1622,OUT017,0,1,1693.7952,0.9348909809950855,0.6899782956551088,6,1,0,0,1,0,0,0,0,1
NCO55,12.8,0.091221855,Others,105.5938,OUT045,0,1,2143.876,0.8765027636722214,1.3022732057997746,11,1,0,0,1,0,0,0,0,1
NCC30,16.6,0.027622076,Household,177.6344,OUT049,1,0,2676.516,0.9310779320436927,0.4314768110001982,14,1,0,0,1,0,0,0,0,1
FDI16,14.0,0.14164533829999998,Frozen Foods,53.064,OUT035,0,1,905.488,0.909090909090909,2.022113327935883,9,0,1,0,1,0,0,0,1,0
FDP16,18.6,0.039355947,Frozen Foods,246.3802,OUT049,1,0,7370.406,0.9310779430846442,0.614768365181995,14,1,0,0,1,0,0,0,1,0
FDB11,16.0,0.060836524,Starchy Foods,226.8404,OUT035,0,1,6301.1312,0.9294568219899721,0.868495550098109,9,1,0,0,1,0,0,0,1,0
NCB06,17.6,0.082316506,Health and Hygiene,160.692,OUT035,0,1,1597.92,0.929456818503636,1.175141419332641,9,1,0,0,1,0,0,0,0,1
FDA45,21.25,0.155350299,Snack Foods,178.237,OUT035,0,1,529.311,1.0154208988255191,2.2177638450860653,9,1,0,0,1,0,0,0,1,0
NCO26,7.235,0.076841095,Household,117.5492,OUT035,0,1,1969.4364,0.9294568161541141,1.0969750518975416,9,1,0,0,1,0,0,0,0,1
DRJ25,14.6,0.151419185,Soft Drinks,50.3692,OUT017,0,1,1034.6532,0.9348909874937066,2.161643692397388,6,1,0,0,1,0,0,1,0,0
FDR28,13.85,0.026001976,Frozen Foods,161.521,OUT018,1,2,1794.331,0.9334195337935713,0.4061696768984232,4,0,1,0,0,1,0,0,1,0
FDI04,13.65,0.073209447,Frozen Foods,197.6426,OUT018,1,2,2768.3964,0.8782920695301611,1.1435845273413927,4,0,1,0,0,1,0,0,1,0
DRK12,9.5,0.041683481,Soft Drinks,31.29,OUT027,1,2,898.83,1.0066596098528127,0.6511261301745515,28,1,0,0,0,0,1,1,0,0
FDX20,7.365,0.042560252,Fruits and Vegetables,226.172,OUT046,0,0,3169.208,0.9222899096810624,0.6075854937578968,16,1,0,0,1,0,0,0,1,0
NCI18,18.35,0.014081156,Household,223.5746,OUT018,1,2,3589.9936,1.0031395315671328,0.21995784408370705,4,1,0,0,0,1,0,0,0,1
FDB36,5.465,0.030340533875,Baking Goods,132.5626,OUT018,1,2,262.3252,0.7272727272727273,0.4739410897438877,4,0,1,0,0,1,0,0,1,0
FDN13,18.6,0.152918384,Breakfast,99.8358,OUT017,0,1,1910.1802,0.9275067616421127,2.183046093037693,6,1,0,0,1,0,0,0,1,0
DRD24,13.85,0.030969274,Soft Drinks,140.9154,OUT017,0,1,1701.7848,0.879676606596772,0.44211396198061975,6,1,0,0,1,0,0,1,0,0
FDQ28,14.0,0.060376776,Frozen Foods,154.5656,OUT013,2,2,2471.4496,0.8710498593152382,0.7600643134410513,26,0,1,0,1,0,0,0,1,0
FDM22,14.0,0.04192285,Snack Foods,54.764,OUT013,2,2,1331.6,0.8707097338343368,0.527753621735983,26,0,1,0,1,0,0,0,1,0
FDR07,21.35,0.077367431,Fruits and Vegetables,97.0094,OUT027,1,2,1808.9786,0.8704928811879857,1.208535245618681,28,1,0,0,0,0,1,0,1,0
FDV25,5.905,0.045838211,Canned,222.5456,OUT018,1,2,3315.684,0.9288173729669328,0.7160260186176522,4,1,0,0,0,1,0,0,1,0
DRF49,7.27,0.071077939,Soft Drinks,114.2518,OUT046,0,0,2618.5914,0.9222899205805942,1.0147008683738215,16,1,0,0,1,0,0,1,0,0
FDW51,6.155,0.094659871,Meat,214.556,OUT046,0,0,2769.728,0.9296326010221123,1.3513539454746137,16,0,1,0,1,0,0,0,1,0
DRL01,19.5,0.077608838,Soft Drinks,233.4958,OUT017,0,1,5375.0034,0.8763641072834327,1.1079352668355118,6,0,1,0,1,0,0,1,0,0
FDP25,15.2,0.021327477,Canned,216.8824,OUT017,0,1,2838.9712,0.8796766086282274,0.30446872456617946,6,1,0,0,1,0,0,0,1,0
FDL50,12.15,0.042485444,Canned,125.0046,OUT018,1,2,1743.0644,1.0029791841441567,0.6636533724346969,4,0,1,0,0,1,0,0,1,0
NCB30,14.6,0.025578526,Household,198.8084,OUT027,1,2,5555.4352,0.8588781859041476,0.39955508154295344,28,1,0,0,0,0,1,0,0,1
FDW11,12.6,0.0489808,Breads,61.9194,OUT018,1,2,619.194,0.9334195363385648,0.7651155323820884,4,1,0,0,0,1,0,0,1,0
NCM43,14.5,0.019471688,Others,164.821,OUT035,0,1,2120.573,0.8745633861423517,0.2779756841613559,9,1,0,0,1,0,0,0,0,1
