Item_Weight,Item_Visibility,Item_MRP,Outlet_Size,Outlet_Location_Type,Item_Outlet_Sales,Outlet_Years,Item_Fat_Content_Low Fat,Item_Fat_Content_Regular,Outlet_Type_Grocery Store,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3,Item_Type_Combined_Drinks,Item_Type_Combined_Food,Item_Type_Combined_Non-Consumable
9.8,0.02681843,126.002,0,2,2150.534,26,True,False,False,True,False,False,False,True,False
13.6,0.117818348,192.9136,1,0,2527.3768,14,True,False,False,True,False,False,False,True,False
21.35,0.069102831,259.9278,1,2,6768.5228,4,True,False,False,False,True,False,False,True,False
12.15,0.042277867,126.5046,0,2,373.5138,26,False,True,False,True,False,False,False,True,False
6.42,0.089498926,178.1002,0,2,358.2004,15,True,False,True,False,False,False,False,True,False
19.6,0.0,153.3024,2,1,2428.8384,11,True,False,False,True,False,False,False,False,True
10.0,0.025879577,265.2226,2,1,5815.0972,11,True,False,False,True,False,False,False,True,False
15.85,0.121632721,60.622,2,0,2576.646,16,False,True,False,True,False,False,False,True,False
10.195,0.255394896,196.8794,2,0,780.3176,28,False,True,True,False,False,False,False,True,False
7.39,0.067779712,143.8812,2,0,3134.5864,16,True,False,False,True,False,False,False,False,True
10.195,0.159803853,141.5154,0,2,850.8924,26,True,False,False,True,False,False,False,True,False
9.895,0.028696932,117.0492,0,2,810.9444,26,False,True,False,True,False,False,False,True,False
10.895,0.065041581,196.3794,2,1,3121.2704,6,True,False,False,True,False,False,False,True,False
12.15,0.028760013,151.4708,2,1,4815.0656,6,True,False,False,True,False,False,False,False,True
7.905,0.010053105,249.0408,1,2,6258.52,4,True,False,False,False,True,False,False,True,False
9.195,0.048157338,106.1622,2,1,2117.244,11,True,False,False,True,False,False,False,False,True
8.365,0.071958197,38.0506,1,0,796.9626,14,True,False,False,True,False,False,True,False,False
15.1,0.173481304,194.511,2,0,4910.275,16,True,False,False,True,False,False,False,True,False
5.94,0.061082177,180.0344,2,0,892.172,28,True,False,True,False,False,False,False,True,False
10.0,0.0,246.9144,1,2,3185.1872,4,True,False,False,False,True,False,False,True,False
7.97,0.040071131,87.3514,2,1,1062.6168,11,False,True,False,True,False,False,False,True,False
6.215,0.012090074,38.2848,1,2,484.7024,28,True,False,False,False,False,True,False,True,False
15.5,0.15028599,51.0692,2,0,147.8076,28,False,True,True,False,False,False,False,True,False
17.5,0.026015519,255.8356,1,2,2543.356,28,True,False,False,False,False,True,False,True,False
17.7,0.195068226,185.4266,0,2,184.4266,15,True,False,True,False,False,False,False,True,False
19.35,0.033082215,172.5738,2,1,4865.6664,9,True,False,False,True,False,False,False,True,False
13.65,0.078946455,186.024,2,1,1118.544,11,False,True,False,True,False,False,False,True,False
17.6,0.041700756,164.8526,2,1,2302.3364,11,True,False,False,True,False,False,True,False,False
8.645,0.143422643,95.841,2,0,2027.361,16,True,False,False,True,False,False,False,False,True
15.6,0.105296072,170.1764,2,0,3435.528,16,False,True,False,True,False,False,False,True,False
15.85,0.121531501,59.222,0,2,599.22,26,False,True,False,True,False,False,False,True,False
18.25,0.0,164.7526,2,1,4604.6728,11,True,False,False,True,False,False,False,True,False
7.855,0.011324862,189.6188,2,1,2285.0256,6,True,False,False,True,False,False,False,True,False
7.825,0.186357148,254.3698,1,0,5580.7356,14,True,False,False,True,False,False,False,False,True
8.39,0.024205661,114.0176,2,0,2290.352,16,False,True,False,True,False,False,False,True,False
12.85,0.033230816,172.3422,1,0,1207.0954,14,True,False,False,True,False,False,False,True,False
13.35,0.113720344,89.9804,2,0,643.1628,28,True,False,True,False,False,False,False,True,False
19.0,0.112556507,104.9622,2,1,1587.933,6,True,False,False,True,False,False,False,True,False
5.905,0.0,222.5456,2,1,5305.0944,11,True,False,False,True,False,False,False,True,False
7.76,0.059352241,101.87,2,0,1697.79,16,True,False,False,True,False,False,False,True,False
11.8,0.014087057,180.3344,2,0,1427.4752,16,False,True,False,True,False,False,False,True,False
16.75,0.045230944,187.9556,1,2,4693.89,4,True,False,False,False,True,False,False,True,False
18.85,0.293417759,194.6136,2,0,583.2408,28,True,False,True,False,False,False,False,False,True
12.6,0.031382044,171.3764,1,2,3091.9752,28,False,True,False,False,False,True,False,True,False
15.5,0.12639886,177.0028,2,1,2479.4392,6,False,True,False,True,False,False,False,True,False
6.055,0.025403898,160.992,2,1,2716.464,9,True,False,False,True,False,False,False,True,False
20.2,0.039057677,155.963,1,2,3285.723,28,False,True,False,False,False,True,False,True,False
6.305,0.123115764,95.6436,2,0,661.8052,16,False,True,False,True,False,False,False,True,False
20.85,0.039624006,117.2808,1,0,1523.3504,14,True,False,False,True,False,False,False,True,False
20.75,0.040421193,122.173,0,2,369.519,15,True,False,True,False,False,False,False,True,False
8.895,0.105274111,39.9138,1,0,690.4346,14,True,False,False,True,False,False,True,False,False
19.6,0.033970195,55.1614,2,1,1381.535,11,True,False,False,True,False,False,True,False,False
19.7,0.053212652,57.893,2,1,622.523,9,True,False,False,True,False,False,False,True,False
9.8,0.024378706,114.5492,2,1,1274.3412,9,True,False,False,True,False,False,False,False,True
7.93,0.009714595,120.0414,2,0,487.3656,28,True,False,True,False,False,False,False,True,False
12.15,0.131383762,246.046,1,0,1231.73,14,True,False,False,True,False,False,False,True,False
8.75,0.07461309,187.4556,2,1,3755.112,9,False,True,False,True,False,False,False,True,False
12.15,0.028459761,149.9708,1,2,4363.6532,28,True,False,False,False,False,True,False,False,True
8.75,0.074627201,187.8556,2,0,1314.2892,16,False,True,False,True,False,False,False,True,False
13.3,0.063695084,151.0708,2,1,1805.6496,11,True,False,False,True,False,False,False,True,False
20.6,0.045797829,178.5344,1,2,2854.9504,28,False,True,False,False,False,True,False,True,False
8.31,0.115857223,179.1028,1,0,3896.2616,14,False,True,False,True,False,False,False,True,False
16.75,0.024832806,38.7822,0,2,667.7974,26,False,True,False,True,False,False,True,False,False
19.75,0.034027909,212.0902,1,2,3185.853,4,True,False,False,False,True,False,False,True,False
17.1,0.0467696,141.1838,0,2,2247.7408,26,False,True,False,True,False,False,False,True,False
10.5,0.116576702,163.121,0,2,1794.331,26,False,True,False,True,False,False,False,True,False
6.635,0.0,121.3098,2,1,2530.7058,11,False,True,False,True,False,False,False,True,False
9.395,0.278974075,225.372,2,0,679.116,28,True,False,True,False,False,False,True,False,False
14.15,0.035913805,41.4138,0,2,812.276,26,True,False,False,True,False,False,True,False,False
13.3,0.079806266,232.53,2,0,699.09,16,True,False,False,True,False,False,False,True,False
8.89,0.005505481,102.4016,2,1,2732.4432,6,True,False,False,True,False,False,False,True,False
6.69,0.064625342,176.937,2,0,176.437,28,False,True,True,False,False,False,False,True,False
6.195,0.071636937,121.7098,1,2,4097.3332,28,True,False,False,False,False,True,False,True,False
9.1,0.0,173.2054,2,1,3151.8972,11,False,True,False,True,False,False,False,True,False
7.5,0.032677678,239.0906,1,0,5942.265,14,True,False,False,True,False,False,False,True,False
16.85,0.160760054,192.4478,2,1,4843.695,6,False,True,False,True,False,False,False,True,False
7.485,0.06911065,109.0228,2,1,2542.0244,9,True,False,False,True,False,False,False,True,False
11.6,0.041177505,140.3154,2,1,2552.6772,6,True,False,False,True,False,False,True,False,False
11.65,0.040081193,227.0694,1,2,1141.847,4,True,False,False,False,True,False,False,True,False
13.0,0.035307322,47.5034,2,1,680.4476,6,True,False,False,True,False,False,False,False,True
12.65,0.063017847,159.0578,2,1,2085.9514,11,True,False,False,True,False,False,True,False,False
20.25,0.171938781,92.512,0,2,186.424,15,False,True,True,False,False,False,False,True,False
8.6,0.040197932,190.153,2,1,3036.048,9,False,True,False,True,False,False,False,True,False
12.6,0.049058014,62.7194,2,1,866.8716,6,True,False,False,True,False,False,False,True,False
17.7,0.01161096,95.041,2,1,868.869,9,True,False,False,True,False,False,False,True,False
14.15,0.183507295,82.4276,2,0,1137.1864,16,True,False,False,True,False,False,True,False,False
19.25,0.102349519,52.7956,2,1,928.1252,6,True,False,False,True,False,False,False,True,False
8.88,0.086708987,151.7682,0,2,762.341,26,True,False,False,True,False,False,True,False,False
20.5,0.032835147,40.2822,2,1,707.0796,11,True,False,False,True,False,False,False,False,True
12.0,0.033809913,180.5976,1,2,7968.2944,28,True,False,False,False,False,True,False,True,False
13.5,0.07266912,160.292,2,0,1438.128,16,True,False,False,True,False,False,False,False,True
12.15,0.144338493,224.4404,1,2,6976.2524,28,True,False,False,False,False,True,False,False,True
8.89,0.009163216,101.7016,0,2,101.2016,15,True,False,True,False,False,False,False,True,False
7.855,0.011307038,188.5188,1,2,952.094,4,True,False,False,False,True,False,False,True,False
7.235,0.076855628,116.0492,2,0,1969.4364,16,True,False,False,True,False,False,False,False,True
18.25,0.059956876,165.4526,1,2,5262.4832,28,True,False,False,False,False,True,False,True,False
6.92,0.038532062,60.5852,2,1,1314.2892,11,True,False,False,True,False,False,False,True,False
9.3,0.043209581,90.8172,2,1,535.3032,6,True,False,False,True,False,False,False,True,False
18.5,0.056816465,132.1284,0,2,263.6568,15,True,False,True,False,False,False,False,False,True
8.02,0.019866705,154.5972,2,1,1402.1748,9,True,False,False,True,False,False,False,False,True
9.195,0.048331717,105.1622,2,1,1693.7952,6,True,False,False,True,False,False,False,False,True
12.8,0.091221855,105.5938,2,1,2143.876,11,True,False,False,True,False,False,False,False,True
16.6,0.027622076,177.6344,1,0,2676.516,14,True,False,False,True,False,False,False,False,True
14.0,0.0,53.064,2,1,905.488,9,False,True,False,True,False,False,False,True,False
18.6,0.039355947,246.3802,1,0,7370.406,14,True,False,False,True,False,False,False,True,False
16.0,0.060836524,226.8404,2,1,6301.1312,9,True,False,False,True,False,False,False,True,False
17.6,0.082316506,160.692,2,1,1597.92,9,True,False,False,True,False,False,False,False,True
21.25,0.155350299,178.237,2,1,529.311,9,True,False,False,True,False,False,False,True,False
7.235,0.076841095,117.5492,2,1,1969.4364,9,True,False,False,True,False,False,False,False,True
14.6,0.151419185,50.3692,2,1,1034.6532,6,True,False,False,True,False,False,True,False,False
13.85,0.026001976,161.521,1,2,1794.331,4,False,True,False,False,True,False,False,True,False
13.65,0.073209447,197.6426,1,2,2768.3964,4,False,True,False,False,True,False,False,True,False
9.5,0.041683481,31.29,1,2,898.83,28,True,False,False,False,False,True,True,False,False
7.365,0.042560252,226.172,2,0,3169.208,16,True,False,False,True,False,False,False,True,False
18.35,0.014081156,223.5746,1,2,3589.9936,4,True,False,False,False,True,False,False,False,True
5.465,0.0,132.5626,1,2,262.3252,4,False,True,False,False,True,False,False,True,False
18.6,0.152918384,99.8358,2,1,1910.1802,6,True,False,False,True,False,False,False,True,False
13.85,0.030969274,140.9154,2,1,1701.7848,6,True,False,False,True,False,False,True,False,False
14.0,0.060376776,154.5656,0,2,2471.4496,26,False,True,False,True,False,False,False,True,False
14.0,0.04192285,54.764,0,2,1331.6,26,False,True,False,True,False,False,False,True,False
21.35,0.077367431,97.0094,1,2,1808.9786,28,True,False,False,False,False,True,False,True,False
5.905,0.045838211,222.5456,1,2,3315.684,4,True,False,False,False,True,False,False,True,False
7.27,0.071077939,114.2518,2,0,2618.5914,16,True,False,False,True,False,False,True,False,False
6.155,0.094659871,214.556,2,0,2769.728,16,False,True,False,True,False,False,False,True,False
19.5,0.077608838,233.4958,2,1,5375.0034,6,False,True,False,True,False,False,True,False,False
15.2,0.021327477,216.8824,2,1,2838.9712,6,True,False,False,True,False,False,False,True,False
12.15,0.042485444,125.0046,1,2,1743.0644,4,False,True,False,False,True,False,False,True,False
14.6,0.025578526,198.8084,1,2,5555.4352,28,True,False,False,False,False,True,False,False,True
12.6,0.0489808,61.9194,1,2,619.194,4,True,False,False,False,True,False,False,True,False
14.5,0.019471688,164.821,2,1,2120.573,9,True,False,False,True,False,False,False,False,True
16.6,0.122918852,173.0738,2,1,3823.0236,6,True,False,False,True,False,False,False,True,False
11.8,0.057373797,151.4366,0,2,1360.2294,26,False,True,False,True,False,False,False,True,False
13.1,0.044155597,178.8318,0,2,3969.4996,26,False,True,False,True,False,False,False,True,False
17.7,0.291865402,115.1834,0,2,345.5502,15,True,False,True,False,False,False,False,True,False
17.85,0.0,196.5794,0,2,585.2382,15,True,False,True,False,False,False,False,True,False
12.3,0.064750025,92.6804,2,1,1010.6844,11,False,True,False,True,False,False,False,True,False
11.8,0.098312421,81.4618,0,2,161.1236,15,True,False,True,False,False,False,False,False,True
9.395,0.191013663,42.1112,2,0,42.6112,28,False,True,True,False,False,False,True,False,False
11.1,0.176573035,157.4604,2,1,3010.7476,11,True,False,False,True,False,False,False,True,False
14.0,0.060134441,153.0656,1,2,6024.1584,28,False,True,False,False,False,True,False,True,False
11.3,0.007294652,198.1426,2,1,988.713,11,True,False,False,True,False,False,False,True,False
10.0,0.128478462,117.944,2,0,239.688,28,True,False,True,False,False,False,False,False,True
5.75,0.075107656,112.8176,0,2,1374.2112,26,False,True,False,True,False,False,False,True,False
6.215,0.049381406,226.8062,1,2,4739.8302,28,False,True,False,False,False,True,False,True,False
11.35,0.045165796,100.0016,1,2,1012.016,4,False,True,False,False,True,False,False,True,False
11.1,0.09415375,165.7526,2,0,657.8104,28,False,True,True,False,False,False,False,True,False
14.0,0.028907832,130.431,1,0,778.986,14,True,False,False,True,False,False,False,False,True
19.75,0.018059621,179.766,2,1,2336.958,11,False,True,False,True,False,False,False,True,False
6.525,0.090436094,85.0882,1,0,2233.0932,14,True,False,False,True,False,False,False,False,True
10.3,0.146399712,103.9648,1,0,1661.8368,14,True,False,False,True,False,False,False,True,False
5.78,0.074264356,264.7568,1,0,4745.8224,14,False,True,False,True,False,False,False,True,False
11.85,0.050186726,164.1526,2,1,3124.5994,11,False,True,False,True,False,False,False,True,False
16.35,0.020631654,50.1324,1,2,467.3916,4,True,False,False,False,True,False,False,True,False
17.6,0.01561108,182.5976,1,2,5070.7328,28,True,False,False,False,False,True,False,False,True
10.5,0.041395445,37.6164,2,0,540.6296,16,True,False,False,True,False,False,False,True,False
19.0,0.097313129,48.0718,2,0,992.7078,16,False,True,False,True,False,False,False,True,False
14.6,0.059582996,238.8538,1,0,6008.845,14,True,False,False,True,False,False,False,False,True
15.6,0.098663652,62.9194,1,2,2105.2596,28,False,True,False,False,False,True,False,True,False
4.615,0.101338651,232.63,1,2,5359.69,28,False,True,False,False,False,True,False,True,False
18.75,0.052146456,104.628,2,1,745.696,11,True,False,False,True,False,False,False,False,True
5.26,0.041764487,161.8868,2,1,3275.736,9,False,True,False,True,False,False,False,True,False
18.25,0.054344186,140.2154,2,1,1701.7848,11,True,False,False,True,False,False,False,True,False
10.3,0.078362484,177.937,1,2,6704.606,28,True,False,False,False,False,True,False,True,False
15.1,0.052339069,242.7512,2,0,4119.9704,16,True,False,False,True,False,False,False,True,False
15.5,0.042464962,81.5934,0,2,327.5736,15,False,True,True,False,False,False,False,True,False
13.65,0.065732883,45.7402,1,0,780.9834,14,True,False,False,True,False,False,False,True,False
16.1,0.023625114,189.3846,2,1,3630.6074,11,True,False,False,True,False,False,True,False,False
5.175,0.051643608,107.3622,2,0,317.5866,28,False,True,True,False,False,False,False,True,False
12.85,0.165694219,39.7164,0,2,231.6984,15,True,False,True,False,False,False,False,True,False
9.5,0.041878397,32.99,2,1,133.16,9,True,False,False,True,False,False,True,False,False
13.8,0.058091482,245.1802,2,1,5650.6446,9,True,False,False,True,False,False,True,False,False
5.78,0.0,263.7568,2,1,2636.568,6,False,True,False,True,False,False,False,True,False
19.7,0.026903714,96.0726,2,1,1272.3438,11,True,False,False,True,False,False,False,False,True
14.65,0.0,161.5552,0,2,324.9104,15,True,False,True,False,False,False,False,False,True
6.67,0.150554711,130.0626,0,2,131.1626,15,False,True,True,False,False,False,False,True,False
6.11,0.0,131.2968,0,2,260.9936,15,False,True,True,False,False,False,False,True,False
13.65,0.134975628,260.0936,0,2,260.9936,15,False,True,True,False,False,False,False,True,False
17.2,0.15616879,160.6578,0,2,3690.5294,26,True,False,False,True,False,False,False,True,False
6.32,0.0,40.2822,2,1,1139.1838,9,True,False,False,True,False,False,False,True,False
4.88,0.133700752,52.9298,1,0,1995.4026,14,False,True,False,True,False,False,False,True,False
5.425,0.115119905,88.3514,2,1,1416.8224,6,False,True,False,True,False,False,False,True,False
15.85,0.110030997,37.2506,2,0,265.6542,16,False,True,False,True,False,False,False,True,False
7.5,0.051038045,121.7072,2,1,3552.7088,6,True,False,False,True,False,False,False,True,False
12.65,0.062837968,161.5578,0,2,2406.867,26,True,False,False,True,False,False,True,False,False
9.06,0.017116983,211.956,2,0,213.056,28,True,False,True,False,False,False,False,False,True
20.75,0.024129332,124.173,0,2,2956.152,26,True,False,False,True,False,False,False,True,False
8.93,0.049754975,152.134,2,0,153.134,28,True,False,True,False,False,False,True,False,False
9.0,0.0,79.7644,2,1,1649.8524,9,True,False,False,True,False,False,False,True,False
16.7,0.101561568,181.9292,1,2,3101.2964,28,True,False,False,False,False,True,False,True,False
6.36,0.005949644,165.6526,1,2,4769.1254,28,True,False,False,False,False,True,False,False,True
5.365,0.13956116,170.4764,1,2,3435.528,28,False,True,False,False,False,True,False,True,False
14.1,0.126035694,86.4198,2,1,1133.8574,11,True,False,False,True,False,False,False,True,False
7.55,0.027164679,152.334,2,1,2603.278,9,True,False,False,True,False,False,False,True,False
13.0,0.099325278,45.406,2,0,605.878,16,True,False,False,True,False,False,False,False,True
9.3,0.04357366,192.8846,1,2,2293.0152,28,True,False,False,False,False,True,True,False,False
17.6,0.082741482,118.7782,2,0,119.1782,28,False,True,True,False,False,False,False,True,False
12.3,0.064565202,92.9804,0,2,1929.4884,26,False,True,False,True,False,False,False,True,False
7.05,0.084554569,109.8912,1,2,2074.6328,28,True,False,False,False,False,True,False,True,False
11.8,0.058451805,79.9618,1,2,241.6854,28,True,False,False,False,False,True,False,False,True
17.25,0.113748685,251.3724,2,1,6795.1548,11,True,False,False,True,False,False,False,False,True
15.85,0.020603511,42.7112,2,1,639.168,6,True,False,False,True,False,False,False,False,True
18.85,0.052044976,192.1846,2,1,3248.4382,9,True,False,False,True,False,False,False,False,True
16.35,0.062764429,227.6062,2,1,7222.5984,6,False,True,False,True,False,False,False,True,False
14.1,0.087977262,229.0668,2,1,3225.1352,9,True,False,False,True,False,False,True,False,False
7.905,0.010010425,249.0408,2,1,3755.112,9,True,False,False,True,False,False,False,True,False
12.0,0.033946163,179.3976,0,2,3440.8544,26,True,False,False,True,False,False,False,True,False
12.15,0.058414678,163.4552,2,1,974.7312,9,False,True,False,True,False,False,False,True,False
10.1,0.027106459,75.367,1,0,535.969,14,True,False,False,True,False,False,False,True,False
17.5,0.027022883,262.491,2,1,5259.82,6,True,False,False,True,False,False,False,True,False
18.35,0.058153409,152.034,2,0,306.268,28,True,False,True,False,False,False,True,False,False
17.1,0.128937661,112.3886,1,2,1779.0176,4,True,False,False,False,True,False,False,True,False
7.785,0.088846306,61.451,1,0,759.012,14,True,False,False,True,False,False,False,True,False
11.8,0.09357779,125.9704,0,2,1877.556,26,False,True,False,True,False,False,False,True,False
13.15,0.165694678,171.8764,2,1,3779.0808,11,False,True,False,True,False,False,False,True,False
6.4,0.148392623,41.5796,2,0,41.2796,28,True,False,True,False,False,False,False,True,False
8.5,0.098438394,51.1324,2,1,259.662,6,True,False,False,True,False,False,False,True,False
8.645,0.143303291,96.341,0,2,193.082,26,True,False,False,True,False,False,False,False,True
17.6,0.076276208,110.9202,2,1,1687.803,11,False,True,False,True,False,False,False,True,False
9.1,0.175103435,127.5362,2,1,4655.9394,6,True,False,False,True,False,False,False,True,False
12.8,0.023511371,225.9404,0,2,4950.8888,26,False,True,False,True,False,False,False,True,False
7.63,0.06105276,95.4436,2,1,1418.154,9,True,False,False,True,False,False,True,False,False
9.285,0.049559042,246.4144,2,1,1225.072,6,False,True,False,True,False,False,False,True,False
13.6,0.119418124,231.03,2,1,5359.69,11,False,True,False,True,False,False,False,True,False
8.895,0.072545601,176.237,2,1,1764.37,11,True,False,False,True,False,False,False,True,False
16.35,0.090486828,195.211,0,2,2553.343,26,True,False,False,True,False,False,False,False,True
17.6,0.056245075,43.3454,0,2,1006.6896,26,True,False,False,True,False,False,False,True,False
7.975,0.014618973,85.225,0,2,1081.925,26,True,False,False,True,False,False,False,True,False
15.85,0.043479126,36.7164,2,1,308.9312,6,True,False,False,True,False,False,False,True,False
15.7,0.045166237,178.666,0,2,2516.724,26,True,False,False,True,False,False,False,True,False
8.985,0.057827101,128.831,2,0,1428.141,16,False,True,False,True,False,False,False,True,False
20.35,0.089394766,260.1594,0,2,2093.2752,26,True,False,False,True,False,False,False,True,False
6.59,0.10550944,85.6908,0,2,1929.4884,26,True,False,False,True,False,False,False,True,False
19.85,0.005234153,264.0884,2,1,5829.7448,9,True,False,False,True,False,False,False,True,False
16.85,0.036390174,91.4488,2,0,2082.6224,16,True,False,False,True,False,False,False,True,False
19.35,0.03292824,173.1738,1,2,7298.4996,28,True,False,False,False,False,True,False,True,False
16.75,0.081252534,256.4988,0,2,7452.9652,26,True,False,False,True,False,False,False,True,False
17.6,0.076552407,110.5202,2,1,450.0808,6,False,True,False,True,False,False,False,True,False
7.905,0.016758569,250.4408,0,2,500.6816,15,True,False,True,False,False,False,False,True,False
17.85,0.044248175,126.202,1,2,3668.558,28,True,False,False,False,False,True,False,True,False
7.785,0.038288087,103.1964,1,2,736.3748,4,False,True,False,False,True,False,False,True,False
7.825,0.186032678,253.0698,2,1,6088.0752,9,True,False,False,True,False,False,False,False,True
9.0,0.031867464,101.0016,1,2,2125.2336,28,True,False,False,False,False,True,False,False,True
20.75,0.021370201,153.0024,2,1,2277.036,6,True,False,False,True,False,False,True,False,False
11.1,0.193772568,190.3846,2,0,573.2538,28,True,False,True,False,False,False,False,True,False
6.26,0.009866049,151.1366,2,1,2267.049,9,False,True,False,True,False,False,False,True,False
18.2,0.082551042,147.3734,0,2,296.9468,15,True,False,True,False,False,False,False,True,False
13.0,0.099729888,46.306,1,2,559.272,4,True,False,False,False,True,False,False,False,True
20.25,0.018801549,222.1772,2,1,5559.43,9,False,True,False,True,False,False,False,True,False
8.695,0.119721451,95.5094,1,0,1237.7222,14,True,False,False,True,False,False,False,False,True
7.27,0.071222087,113.5518,2,1,569.259,11,True,False,False,True,False,False,True,False,False
10.695,0.060371962,174.0712,1,2,3866.9664,28,False,True,False,False,False,True,False,True,False
12.85,0.033287541,198.4768,2,1,1379.5376,11,True,False,False,True,False,False,False,True,False
7.075,0.05858462,142.7128,1,2,1869.5664,4,True,False,False,False,True,False,False,True,False
20.2,0.11679292,196.211,1,2,5499.508,28,False,True,False,False,False,True,False,True,False
8.195,0.031452265,94.3462,1,0,925.462,14,True,False,False,True,False,False,False,True,False
7.09,0.00721395,47.9034,2,1,583.2408,9,True,False,False,True,False,False,False,True,False
6.095,0.081196619,141.4154,2,0,1418.154,16,True,False,False,True,False,False,False,False,True
19.35,0.049916364,80.2644,2,1,942.7728,6,False,True,False,True,False,False,False,True,False
6.15,0.04627095,99.3384,2,0,2364.9216,16,True,False,False,True,False,False,False,True,False
17.35,0.02747716,87.9856,1,2,3251.7672,28,False,True,False,False,False,True,False,True,False
20.2,0.104704537,125.2678,2,0,254.3356,28,False,True,True,False,False,False,False,True,False
17.7,0.012540003,167.0474,2,1,5895.659,9,True,False,False,True,False,False,False,False,True
17.85,0.147023834,93.7436,1,2,1134.5232,4,True,False,False,False,True,False,False,True,False
9.395,0.159657596,224.972,2,1,7696.648,11,True,False,False,True,False,False,True,False,False
15.75,0.141398626,250.5382,2,1,2775.7202,6,True,False,False,True,False,False,True,False,False
7.475,0.148821808,241.2854,2,1,5317.0788,11,True,False,False,True,False,False,False,True,False
7.075,0.0,98.0068,1,2,874.8612,4,True,False,False,False,True,False,False,True,False
6.445,0.029691762,92.6436,2,0,1039.9796,16,True,False,False,True,False,False,False,True,False
